codigo_fundo,setor,preco_atual,liquidez_diaria,dividendo,dividend_yield,dy3_m_acumulado,dy6_m_acumulado,dy12_m_acumulado,dy3_m_media,dy6_m_media,dy12_m_media,dy_ano,variacao_preço,rentab_periodo,rentab_acumulada,patrimonio_líq,vpa,p_vpa,dy_patrimonial,variação_patrimonial,rentab_patr_periodo,rentab_patr_acumulada,vacancia_fisica,vacancia_financeira,quantidade_ativos
XPIN11,Outros,73.97,5240.0,0.64,0.83,2.35,4.85,9.19,0.78,0.81,0.77,7.82,-9.16,-8.4,-3.19,752613733.16,105.25,0.7,0.61,0.52,1.13,1.52,17.3,12.0,5
MATV11,Títulos e Val. Mob.,51.94,100.0,0.6,0.69,2.94,6.74,12.86,0.98,1.12,1.07,11.65,-7.48,-6.83,-0.89,39761417.1,93.34,0.56,0.64,-0.09,0.55,-0.33,0.0,0.0,0
MATV11,Títulos e Val. Mob.,51.77,400.0,0.6,0.69,2.94,6.74,12.86,0.98,1.12,1.07,11.65,-7.48,-6.83,-0.89,39761417.1,93.34,0.55,0.64,-0.09,0.55,-0.33,0.0,0.0,0
MATV11,Títulos e Val. Mob.,50.81,200.0,0.6,0.69,2.94,6.74,12.86,0.98,1.12,1.07,11.65,-7.48,-6.83,-0.89,39761417.1,93.34,0.54,0.64,-0.09,0.55,-0.33,0.0,0.0,0
MATV11,Títulos e Val. Mob.,51.05,100.0,0.6,0.69,2.94,6.74,12.86,0.98,1.12,1.07,11.65,-7.48,-6.83,-0.89,39761417.1,93.34,0.55,0.64,-0.09,0.55,-0.33,0.0,0.0,0
MATV11,Títulos e Val. Mob.,51.17,100.0,0.6,0.69,2.94,6.74,12.86,0.98,1.12,1.07,11.65,-7.48,-6.83,-0.89,39761417.1,93.34,0.55,0.64,-0.09,0.55,-0.33,0.0,0.0,0
MATV11,Títulos e Val. Mob.,51.6,400.0,0.6,0.69,2.94,6.74,12.86,0.98,1.12,1.07,11.65,-7.48,-6.83,-0.89,39761417.1,93.34,0.55,0.64,-0.09,0.55,-0.33,0.0,0.0,0
MATV11,Títulos e Val. Mob.,51.97,200.0,0.6,0.69,2.94,6.74,12.86,0.98,1.12,1.07,11.65,-7.48,-6.83,-0.89,39761417.1,93.34,0.56,0.64,-0.09,0.55,-0.33,0.0,0.0,0
MATV11,Títulos e Val. Mob.,51.66,400.0,0.6,0.69,2.94,6.74,12.86,0.98,1.12,1.07,11.65,-7.48,-6.83,-0.89,39761417.1,93.34,0.55,0.64,-0.09,0.55,-0.33,0.0,0.0,0
MATV11,Títulos e Val. Mob.,51.99,300.0,0.6,0.69,2.94,6.74,12.86,0.98,1.12,1.07,11.65,-7.48,-6.83,-0.89,39761417.1,93.34,0.56,0.64,-0.09,0.55,-0.33,0.0,0.0,0
ALZR11,Logística,114.89,6766.0,0.78,0.68,6.17,8.21,12.11,2.06,1.37,1.01,10.86,-4.42,-3.77,8.83,740550891.02,106.97,1.07,0.72,0.07,0.79,6.57,0.0,0.0,15
BPML11,Shoppings,66.75,44.0,0.3,0.45,1.12,2.38,0.0,0.37,0.4,0.0,2.38,-2.22,-1.78,0.45,532814253.64,123.76,0.54,0.24,-0.77,-0.53,-0.56,5.8,0.0,7
